#UniProt1	UniProt2	PubMedIDs	InteractionType	Directedness
A4V133	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9VDJ9	P04412	22110040	Post-translational_modification	PPI_directed
Q95TJ6	Q00805	22110040	Post-translational_modification	PPI_directed
Q9VE37	P29503	22110040	Post-translational_modification	PPI_directed
C5WLP3	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
D0Z749	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P54631	Q7JQ36	23331499;9827802;9827801;21071413	Interaction_between_pathway_members	PPI_directed
G4LU57	P04412	22110040	Post-translational_modification	PPI_directed
E1U3F7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
F2FB98	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
P18502	P07207	9529525;21071413	interaction_from_external_databases	PPI_undirected
P52295	Q01083	22110040	Post-translational_modification	PPI_directed
F0JAI8	P04412	22110040	Post-translational_modification	PPI_directed
Q8I0B7	Q00805	22110040	Post-translational_modification	PPI_directed
A1Z7T0	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q961B0	Q00805	22110040	Post-translational_modification	PPI_directed
D3DMW1	Q08012	22110040	Post-translational_modification	PPI_directed
Q8MT38	Q08012	22110040	Post-translational_modification	PPI_directed
Q86P98	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q86P77	Q9VVI3	22110040	Post-translational_modification	PPI_directed
O44783	Q8T9B1	21036869	Directed_protein-protein_interaction	PPI_predicted_as_directed
Q8MZ44	P04412	22110040	Post-translational_modification	PPI_directed
Q9VVI3	Q00805	22110040	Post-translational_modification	PPI_directed
Q24045	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9VEX2	P29503	22110040	Post-translational_modification	PPI_directed
Q86M59	P04412	22110040	Post-translational_modification	PPI_directed
Q5U119	Q00805	22110040	Post-translational_modification	PPI_directed
E1JJN6	P04412	22110040	Post-translational_modification	PPI_directed
P12370	P29503	22110040	Post-translational_modification	PPI_directed
Q9VZ56	Q01083	22110040	Post-translational_modification	PPI_directed
Q7K137	Q08012	22110040	Post-translational_modification	PPI_directed
E1JJ51	Q01083	22110040	Post-translational_modification	PPI_directed
P09615	P42003	8681796;21036869	interaction_from_external_databases	PPI_undirected
E1JJH6	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q6NNW8	Q08012	22110040	Post-translational_modification	PPI_directed
A1Z7T0	Q00805	22110040	Post-translational_modification	PPI_directed
A4V0X0	Q01083	22110040	Post-translational_modification	PPI_directed
Q9W5Q1	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C7LAC8	P04412	22110040	Post-translational_modification	PPI_directed
F0JAT3	Q00805	22110040	Post-translational_modification	PPI_directed
O44783	P18475	10089881;22036573;21036869;21071413	interaction_from_external_databases	PPI_undirected
A1ZA68	Q08012	22110040	Post-translational_modification	PPI_directed
Q86PC3	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A1ZBL7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9GV81	Q08012	22110040	Post-translational_modification	PPI_directed
Q4V5D7	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q8IPP3	P04412	22110040	Post-translational_modification	PPI_directed
P91635	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
A4V2B8	Q01083	22110040	Post-translational_modification	PPI_directed
Q59E65	Q01083	22110040	Post-translational_modification	PPI_directed
A4V3J9	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q0E981	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
C6TP33	P29503	22110040	Post-translational_modification	PPI_directed
Q7JPN8	Q01083	22110040	Post-translational_modification	PPI_directed
O61267	P04412	22110040	Post-translational_modification	PPI_directed
Q24592	Q24151	23331499;9032284;12479803;21036869;8650180;12454071;8608596;8608595;10346822;21071413	Interaction_between_pathway_members;interaction_from_external_databases	PPI_directed;PPI_undirected
F0JAK9	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q8IPK9	Q00805	22110040	Post-translational_modification	PPI_directed
A8JV17	Q00805	22110040	Post-translational_modification	PPI_directed
Q45VV3	P04412	22110040	Post-translational_modification	PPI_directed
Q95U75	P04412	22110040	Post-translational_modification	PPI_directed
Q9VRS2	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q9VVI3	Q23985	23331499;15620649	Interaction_between_pathway_members	PPI_directed
P92208	Q01083	22110040	Post-translational_modification	PPI_directed
Q6NP58	Q08012	22110040	Post-translational_modification	PPI_directed
P32392	Q9VVI3	22110040	Post-translational_modification	PPI_directed
Q9GSP5	P29503	22110040	Post-translational_modification	PPI_directed
P20350	P18824	10581282;21071413	interaction_from_external_databases	PPI_undirected
Q23977	Q9VM64	22110040	Post-translational_modification	PPI_directed
Q9VYN5	Q9VVI3	22110040	Post-translational_modification	PPI_directed
P21520	Q02936	8252628;12479809;21036869;21071413	interaction_from_external_databases	PPI_undirected
Q3ZAJ5	P29503	22110040	Post-translational_modification	PPI_directed
E5KZ57	Q01083	22110040	Post-translational_modification	PPI_directed
A1Z7Y4	Q00805	22110040	Post-translational_modification	PPI_directed
Q7KM08	P04412	22110040	Post-translational_modification	PPI_directed
Q9VIF7	Q00805	22110040	Post-translational_modification	PPI_directed
Q9V4D6	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
Q70PP2	Q08012	22110040	Post-translational_modification	PPI_directed
B7Z0R6	Q00805	22110040	Post-translational_modification	PPI_directed
Q8T021	Q00805	22110040	Post-translational_modification	PPI_directed
E1JJ11	Q01083	22110040	Post-translational_modification	PPI_directed
A4V0R4	P04412	22110040	Post-translational_modification	PPI_directed
O18683	P91634	8978685;22068330;9169420;21036869;15935772;21071413	interaction_from_external_databases	PPI_undirected
Q24213	Q00805	22110040	Post-translational_modification	PPI_directed
Q8T9B1	P29503	22110040	Post-translational_modification	PPI_directed
Q24324	P11346	8381718;16600911;22028469;11014822;9927462;21036869;9814705;7958887;8013459;9136016;21071413	interaction_from_external_databases	PPI_undirected
Q494K0	Q9Y0H4	22110040	Post-translational_modification	PPI_directed
F0JAT3	P29503	22110040	Post-translational_modification	PPI_directed
