#FlyBase1	FlyBase2	PubMedIDs	InteractionType	Directedness
FBgn0004638	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0020621	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0004889	FBgn0003205	21071413	Directed_protein-protein_interaction	PPI_predicted_as_directed
FBgn0021796	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0260990	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0011300	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0000711	FBgn0003716	23331499;12134149	Interaction_between_pathway_members	PPI_directed
FBgn0004390	FBgn0000382	11014820;21071413	interaction_from_external_databases	PPI_undirected
FBgn0000117	FBgn0001085	9671581;10556068;21071413	interaction_from_external_databases	PPI_undirected
FBgn0004103	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0039907	FBgn0085432	11955446;21036869	interaction_from_external_databases	PPI_undirected
FBgn0024846	FBgn0261524	21036869	interaction_from_external_databases	PPI_undirected
FBgn0003317	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003124	FBgn0005672	22110040	Post-translational_modification	PPI_directed
FBgn0010909	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0263930	FBgn0024326	22036573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0013759	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0037943	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000042	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0000147	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003731	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0015567,FBgn0264855	FBgn0028582	10725248;21071413	interaction_from_external_databases	PPI_undirected
FBgn0027889	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0261931	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0037980	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0043362	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0024329	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0000229	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0011817	FBgn0261445	22036573;21036869	interaction_from_external_databases	PPI_undirected
FBgn0030486	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0026379	FBgn0038197	12908874;21036869	interaction_from_external_databases	PPI_undirected
FBgn0019686	FBgn0031872	22110040	Post-translational_modification	PPI_directed
FBgn0037098	FBgn0004638	22110040	Post-translational_modification	PPI_directed
FBgn0016126	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000463	FBgn0004569	11124124;11944933;21071413	interaction_from_external_databases	PPI_undirected
FBgn0041604	FBgn0004009	23331499;18477454	Interaction_between_pathway_members	PPI_directed
FBgn0259174	FBgn0000524	23331499;15620649	Interaction_between_pathway_members	PPI_directed
FBgn0053993	FBgn0003557	22110040	Post-translational_modification	PPI_directed
FBgn0011300	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0024811	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0023388	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0025743	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0038853	FBgn0259174	22110040	Post-translational_modification	PPI_directed
FBgn0000117	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0003118	FBgn0003733	1905816;21036869	interaction_from_external_databases	PPI_undirected
FBgn0015374	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0000490	FBgn0003444	12756186;21071413	interaction_from_external_databases	PPI_undirected
FBgn0026063	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0015279	FBgn0010379	11862217;21071413	interaction_from_external_databases	PPI_undirected
FBgn0011742	FBgn0004569	22110040	Post-translational_modification	PPI_directed
FBgn0021818	FBgn0003731	22110040	Post-translational_modification	PPI_directed
FBgn0011817	FBgn0002932	22110040	Post-translational_modification	PPI_directed
FBgn0001291	FBgn0000229	9224721;9224720;21036869;21071413	interaction_from_external_databases	PPI_undirected
FBgn0040281	FBgn0259174	22110040	Post-translational_modification	PPI_directed
